gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Tenture_category,Charge_category,Service_count,Bundle_user
0,0,1,1,0.04688266659249362,1,1,0,1,1,1,0,0,1,1,1,1,0.0029349840813665527,-0.5676120079839795,1,1,3,1
0,0,1,0,0.8399142039232892,1,2,1,0,0,0,0,1,1,2,0,2,1.0781176431888486,-0.8309299125824218,2,2,2,1
1,0,0,0,-2.028448348331173,0,0,0,0,1,0,0,0,0,0,0,0,-1.3730329320561832,1.3225778402557407,0,0,8,0
1,0,1,0,-1.2354168110003774,1,1,1,0,1,0,0,0,0,0,0,0,0.18074726309914202,-0.9644357840521731,0,1,0,1
1,0,1,1,-2.628353547712208,1,2,0,1,0,0,1,0,0,2,0,2,-0.09511103892843457,-1.411917914512051,0,1,2,1
1,0,1,0,-0.8286379495691019,1,1,1,0,1,0,0,0,0,0,0,0,0.15914390209698223,-1.0398956244481194,0,1,0,1
1,0,0,1,0.39780471221804775,1,1,2,2,2,2,2,2,2,2,1,1,-1.5225946620711341,-0.27368801427389455,1,0,0,0
1,0,0,1,1.0849543884163384,1,1,2,2,2,2,2,2,2,2,0,3,-1.4943441130683104,0.34845990059897813,2,0,0,0
1,0,1,0,-0.03560641223830633,0,0,0,0,1,1,0,1,0,0,0,0,-0.8346107040023594,1.6597725116753892,1,0,5,0
1,0,1,1,-0.553022532788542,1,1,2,2,2,2,2,2,2,1,0,2,-1.4893587220678117,1.042901508718317,0,0,0,0
1,1,0,0,0.04688266659249362,1,1,1,0,1,0,0,0,0,0,0,0,0.14418772909548702,1.2180949843228919,1,1,0,1
0,1,1,0,0.6852599888296765,1,2,0,1,1,0,1,0,1,0,0,0,0.17576187209864347,0.4386950943591658,1,1,2,1
1,1,1,0,0.39780471221804775,1,1,2,2,2,2,2,2,2,1,1,3,-1.4943441130683104,0.4244474321865046,1,0,0,0
0,0,0,0,0.5856697558124698,1,2,1,1,1,1,0,1,1,1,1,2,1.3622849302172555,0.9310309761033475,1,2,4,1
0,0,1,0,0.7220944948185237,0,0,0,1,1,1,1,0,0,2,1,1,-0.7598298389948839,0.06561742191207419,1,0,1,0
0,0,1,0,0.4968246122616332,0,0,0,1,0,1,1,0,1,2,0,1,-0.3875873109576722,-0.739111645247494,1,1,2,0
0,0,0,1,1.0486352026309569,1,2,1,1,0,1,1,1,0,1,0,3,1.3406815692150957,1.384845400862186,2,2,7,1
0,0,0,0,1.073016540444078,1,1,0,0,0,1,1,1,1,2,0,3,0.5297246331340278,0.9568878444907697,2,1,4,1
0,0,0,0,1.073016540444078,1,2,2,2,2,2,2,2,2,2,0,2,-1.3331498040521963,-0.9834326669490547,2,0,5,0
1,0,0,0,0.4731113410630423,0,0,0,1,1,1,0,1,1,1,1,3,-0.3859255139575061,1.1320813200953446,1,1,3,0
1,0,1,0,-1.4285431489501372,1,1,0,0,1,0,0,0,1,0,1,1,-0.33607160395252245,-0.668401025575768,0,1,5,1
1,1,0,0,1.0849543884163384,1,2,1,0,0,1,1,1,1,2,1,3,1.4935668932303794,1.5716480826815218,2,2,7,1
1,0,0,1,1.0849543884163384,1,2,0,1,0,1,1,1,1,2,0,3,0.85876043916692,-0.6884532908558098,2,2,6,1
0,0,0,1,1.036182034455231,1,2,0,1,0,1,0,1,0,1,0,3,0.27380789510844483,0.20440020529762595,2,1,4,1
0,0,1,0,0.6268908918516395,0,0,0,1,0,1,1,0,1,1,0,0,-0.3327480099521901,-1.4646870336700555,1,1,2,0
1,1,1,0,0.04688266659249362,1,1,2,2,2,2,2,2,2,1,1,2,-1.4710789550659844,1.0819506568952404,1,0,0,0
0,1,1,0,-0.7266990576990284,1,1,1,0,1,1,0,1,1,0,0,0,0.9086143491719036,-1.1311862005914672,0,2,3,1
1,1,0,0,-0.553022532788542,1,1,1,1,1,0,0,0,0,0,1,0,0.3502505571160864,0.5922532311089588,0,1,5,1
0,0,1,0,1.073016540444078,1,2,1,1,0,1,0,1,1,2,0,3,1.395520870220578,1.562677332424661,2,2,7,1
0,1,1,0,0.7038731848331417,1,1,1,0,0,1,0,1,0,1,0,2,0.8820255971692458,1.0977813926426416,1,2,3,1
0,0,0,1,-1.4285431489501372,1,1,1,0,0,0,1,0,0,0,0,0,0.5064594751317021,0.01284830275406972,0,1,1,1
0,1,1,0,-0.40844052080327353,1,2,1,0,0,0,0,1,0,0,0,0,0.8820255971692458,1.5816742153215426,0,2,3,1
0,0,0,0,0.22412818730756126,0,0,0,1,0,1,0,1,0,1,1,2,-0.562075995975115,0.01706983228671008,1,0,3,0
1,0,1,0,-1.4285431489501372,1,1,0,1,1,0,0,0,0,0,0,1,-0.4856333339674735,-1.1427954068062283,0,0,5,1
0,0,1,0,0.7574251250924893,1,1,0,0,1,1,1,1,1,2,0,2,0.32200000811326246,0.1753771897607235,2,1,2,1
1,0,1,0,0.4236418624116861,1,1,1,0,0,0,1,0,0,2,1,2,0.5264010391336954,-1.1823722461747315,1,1,1,1
1,0,0,0,0.6268908918516395,1,2,1,1,1,1,0,0,1,0,0,0,0.9850570111795457,1.454500638150752,1,2,2,1
1,0,0,1,0.37117244919296927,1,2,0,1,0,0,1,0,1,1,0,2,0.3485887601159204,-1.305851985004462,1,1,4,1
1,1,0,1,1.036182034455231,1,2,1,0,1,1,1,1,1,1,0,3,1.4088152462219072,-1.3881718108909489,2,2,4,1
1,1,0,1,1.0107248975525056,1,2,1,1,0,1,1,1,1,1,0,0,1.7112623002521414,1.501465154201376,2,2,6,1
1,0,0,1,0.90067460370267,1,1,2,2,2,2,2,2,2,1,0,0,-1.502653098069141,-0.5243413302744158,2,0,0,0
1,0,0,1,0.4731113410630423,1,1,2,2,2,2,2,2,2,2,1,1,-1.4843733310673135,-1.3264319414760837,1,0,0,0
1,0,1,0,-2.028448348331173,1,1,2,2,2,2,2,2,2,0,1,2,-1.481049737066981,-1.649906641914651,0,0,0,0
0,0,1,0,0.5856697558124698,1,1,1,0,0,0,0,0,0,0,1,3,0.33363258711442517,0.4017567109485627,1,1,5,1
0,0,0,0,-0.34430153408087455,1,2,0,1,0,0,1,1,0,0,0,0,0.3801629031190768,-1.6441020388072707,1,1,4,1
1,0,0,0,0.8858797091401145,1,1,0,1,1,0,1,0,0,0,1,0,-0.3011738669490337,1.6481633054606282,2,1,1,1
0,0,1,0,-2.028448348331173,1,1,1,0,1,1,0,0,0,0,1,0,0.3502505571160864,-1.447800915539494,0,1,5,1
1,0,1,0,-2.028448348331173,1,1,0,0,1,0,0,0,0,0,0,1,-0.6335332669822583,-1.329598088625564,0,0,0,1
0,0,1,0,0.7038731848331417,1,1,0,0,1,1,1,0,0,2,1,3,-0.34604238595351905,1.0983090838342218,1,1,1,1
0,1,0,1,0.5856697558124698,1,2,1,0,1,0,0,1,1,0,0,3,0.9900424021800438,-0.4283015334068477,1,2,3,1
1,0,0,1,0.04688266659249362,1,2,0,1,0,0,1,1,0,1,1,1,0.4233696251233959,1.3843177096706059,1,1,4,1
0,0,1,0,-0.94420673346191,1,1,1,1,0,1,1,0,1,0,0,2,1.109691786192005,-0.5053444473775341,0,2,4,1
1,0,0,1,0.9152208327682834,1,2,1,1,0,0,1,1,1,2,0,1,1.5400972092350305,0.9152002403559462,2,2,7,1
1,0,1,0,-0.22873275018806632,1,2,0,0,0,0,1,0,0,0,0,3,-0.2047896409393986,0.557953303656256,1,1,3,1
0,0,1,0,0.25560366530016104,1,2,1,0,1,0,0,1,1,0,0,1,0.9900424021800438,0.937363270402308,1,2,3,1
1,0,1,0,1.073016540444078,1,2,1,1,0,1,1,1,1,1,0,2,1.7129240972523074,1.43286529929597,2,2,6,1
0,0,1,0,0.6852599888296765,1,2,1,0,1,1,0,0,1,0,0,3,0.8155537171626008,0.935780196827568,1,2,3,1
1,0,1,0,-1.2354168110003774,1,1,2,2,2,2,2,2,2,0,1,1,-1.46443176706532,-0.47895988779853194,0,0,0,0
0,0,1,0,-2.028448348331173,1,1,2,2,2,2,2,2,2,0,0,1,-1.5009913010689746,-1.4530778274552945,0,0,0,0
1,0,0,1,0.7220944948185237,1,2,1,0,0,0,0,1,1,0,0,0,1.1495749141959914,-1.6536004802557114,1,2,2,1
1,0,1,0,0.448730003249921,1,1,0,0,0,0,0,0,0,0,0,0,-0.4972659129686364,0.15743568924700196,1,0,5,1
0,0,0,1,-0.0799997458036479,1,1,0,0,1,1,1,0,0,1,0,3,-0.34438058895335305,-1.6340759061672498,1,1,1,1
0,0,1,0,-0.7266990576990284,1,1,0,1,1,0,1,0,0,1,1,2,-0.3493659799538514,-1.1248539062925067,0,1,1,1
1,0,1,0,-0.8286379495691019,0,0,0,0,1,1,1,0,0,1,0,3,-0.9725398550161476,0.1848756312091643,0,0,5,0
1,0,0,1,-1.077621103324583,1,2,1,1,1,1,0,0,0,0,0,0,0.6560212051466532,0.9927708455182127,0,2,3,1
0,0,1,0,0.5642987871427292,1,1,0,0,1,0,1,0,1,1,1,0,-0.18152448293707302,-0.30534948576869725,1,1,1,1
1,0,0,1,0.31531563338724816,1,1,2,2,2,2,2,2,2,0,0,1,-1.4660935640654862,-0.9169435768099691,1,0,0,0
0,0,0,0,-2.028448348331173,1,1,0,0,1,0,0,1,0,0,1,1,-0.31779183695069496,-1.5485899331312827,0,1,5,1
1,0,1,1,0.37117244919296927,0,0,0,0,1,0,0,0,0,0,1,3,-1.3215172250510334,1.7494800142439968,1,0,8,0
1,0,1,0,-1.6775263027056184,0,0,0,0,1,0,0,0,0,0,1,1,-1.3447823830533592,-0.10060530343563989,0,0,8,0
1,0,0,0,0.9710776485740045,1,1,0,1,0,0,1,1,0,1,1,3,0.2006888271011353,0.017597523478290123,2,1,2,1
1,0,1,0,0.006620511544679967,1,1,1,0,1,0,0,1,0,0,1,0,0.466576347127715,0.8360465616189394,1,1,5,1
0,0,0,0,1.073016540444078,1,2,0,0,0,1,1,1,1,2,0,3,0.6161380771426661,-0.04889156666079551,2,1,7,1
0,0,1,0,1.0107248975525056,1,1,0,1,0,1,0,0,0,2,0,2,-0.12003799393092641,-1.0303971829996788,2,1,3,1
